contract,bug_type,line
buggy_5.sol,Unchecked-Send,295
buggy_12.sol,Overflow-Underflow,509
buggy_49.sol,Re-entrancy,45
buggy_47.sol,TOD,677
buggy_11.sol,tx.origin,299
buggy_26.sol,Unhandled-Exceptions,87
buggy_25.sol,Timestamp-Dependency,42
buggy_45.sol,Overflow-Underflow,294
buggy_20.sol,TOD,644
buggy_34.sol,Unhandled-Exceptions,443
buggy_12.sol,Re-entrancy,461
buggy_50.sol,Re-entrancy,243
buggy_42.sol,Unchecked-Send,11
buggy_37.sol,TOD,289
buggy_38.sol,Unhandled-Exceptions,94
buggy_36.sol,Re-entrancy,313
buggy_21.sol,Unhandled-Exceptions,249
buggy_17.sol,Unhandled-Exceptions,175
buggy_40.sol,TOD,699
buggy_37.sol,Re-entrancy,262
buggy_29.sol,tx.origin,171
buggy_28.sol,Unchecked-Send,237
buggy_48.sol,Timestamp-Dependency,194
buggy_15.sol,Unhandled-Exceptions,124
buggy_29.sol,Timestamp-Dependency,195
buggy_26.sol,tx.origin,68
buggy_12.sol,Re-entrancy,358
buggy_33.sol,Unhandled-Exceptions,177
buggy_50.sol,Overflow-Underflow,267
buggy_28.sol,Timestamp-Dependency,96
buggy_30.sol,Unhandled-Exceptions,860
buggy_45.sol,tx.origin,112
buggy_8.sol,Unchecked-Send,234
buggy_38.sol,Unchecked-Send,146
buggy_5.sol,Re-entrancy,212
buggy_49.sol,Unhandled-Exceptions,19
buggy_5.sol,Timestamp-Dependency,229
buggy_14.sol,TOD,240
buggy_41.sol,Overflow-Underflow,209
buggy_48.sol,Timestamp-Dependency,167
buggy_33.sol,TOD,459
buggy_28.sol,Re-entrancy,241
buggy_40.sol,Overflow-Underflow,597
buggy_35.sol,Overflow-Underflow,464
buggy_30.sol,Timestamp-Dependency,453
buggy_24.sol,TOD,1354
buggy_23.sol,Re-entrancy,472
buggy_17.sol,TOD,478
buggy_12.sol,Re-entrancy,133
buggy_43.sol,Timestamp-Dependency,260
buggy_11.sol,TOD,276
buggy_26.sol,Overflow-Underflow,74
