contract,bug_type,line
buggy_16.sol,TOD,39
buggy_16.sol,TOD,43
buggy_5.sol,TOD,42
buggy_5.sol,TOD,43
buggy_5.sol,TOD,45
buggy_5.sol,TOD,47
buggy_29.sol,TOD,42
buggy_29.sol,TOD,40
buggy_29.sol,TOD,40
buggy_29.sol,TOD,40
buggy_29.sol,TOD,40
buggy_29.sol,TOD,40
buggy_22.sol,TOD,42
buggy_22.sol,TOD,43
buggy_22.sol,TOD,45
buggy_22.sol,TOD,46
buggy_49.sol,TOD,12
buggy_49.sol,TOD,36
buggy_38.sol,TOD,42
buggy_38.sol,TOD,42
buggy_45.sol,TOD,78
buggy_45.sol,TOD,138
buggy_33.sol,TOD,64
buggy_33.sol,TOD,65
buggy_33.sol,TOD,70
buggy_33.sol,TOD,71
buggy_33.sol,TOD,76
buggy_33.sol,TOD,77
buggy_33.sol,TOD,82
buggy_33.sol,TOD,83
buggy_33.sol,TOD,102
buggy_33.sol,TOD,103
buggy_33.sol,TOD,108
buggy_33.sol,TOD,109
buggy_40.sol,TOD,14
buggy_41.sol,TOD,42
buggy_41.sol,TOD,43
buggy_41.sol,TOD,45
buggy_41.sol,TOD,47
buggy_41.sol,TOD,50
buggy_37.sol,TOD,42
buggy_37.sol,TOD,43
buggy_37.sol,TOD,102
buggy_37.sol,TOD,103
buggy_36.sol,TOD,19
buggy_20.sol,TOD,42
buggy_20.sol,TOD,43
buggy_20.sol,TOD,51
buggy_20.sol,TOD,53
buggy_20.sol,TOD,60
buggy_20.sol,TOD,64
buggy_20.sol,TOD,74
buggy_20.sol,TOD,78
buggy_20.sol,TOD,80
buggy_20.sol,TOD,84
buggy_21.sol,TOD,8
buggy_15.sol,TOD,25
buggy_15.sol,TOD,45
buggy_15.sol,TOD,10
buggy_6.sol,TOD,42
buggy_6.sol,TOD,43
buggy_7.sol,TOD,45
buggy_7.sol,TOD,78
buggy_7.sol,TOD,89
buggy_7.sol,TOD,102
buggy_7.sol,TOD,108
buggy_7.sol,TOD,130
buggy_7.sol,TOD,140
buggy_19.sol,TOD,42
buggy_19.sol,TOD,49
buggy_19.sol,TOD,70
buggy_19.sol,TOD,90
buggy_19.sol,TOD,104
buggy_19.sol,TOD,109
buggy_26.sol,TOD,52
buggy_13.sol,TOD,42
buggy_12.sol,TOD,25
buggy_12.sol,TOD,26
buggy_47.sol,TOD,185
buggy_47.sol,TOD,201
buggy_47.sol,TOD,476
buggy_47.sol,TOD,523
buggy_47.sol,TOD,642
buggy_47.sol,TOD,789
buggy_47.sol,TOD,863
buggy_47.sol,TOD,925
buggy_47.sol,TOD,1032
buggy_47.sol,TOD,1067
buggy_46.sol,TOD,12
buggy_31.sol,TOD,42
buggy_31.sol,TOD,43
buggy_31.sol,TOD,45
buggy_31.sol,TOD,52
buggy_31.sol,TOD,65
buggy_31.sol,TOD,72
buggy_31.sol,TOD,85
buggy_31.sol,TOD,92
buggy_31.sol,TOD,105
buggy_31.sol,TOD,123
buggy_17.sol,tx.origin,42
buggy_17.sol,tx.origin,24
buggy_17.sol,tx.origin,14
buggy_17.sol,tx.origin,10
buggy_17.sol,tx.origin,38
buggy_17.sol,tx.origin,17
buggy_17.sol,tx.origin,26
buggy_17.sol,tx.origin,19
buggy_17.sol,tx.origin,31
buggy_17.sol,tx.origin,40
buggy_16.sol,tx.origin,42
buggy_5.sol,tx.origin,34
buggy_4.sol,tx.origin,15
buggy_4.sol,tx.origin,17
buggy_4.sol,tx.origin,19
buggy_4.sol,tx.origin,21
buggy_28.sol,tx.origin,1
buggy_28.sol,tx.origin,3
buggy_23.sol,tx.origin,42
buggy_23.sol,tx.origin,43
buggy_23.sol,tx.origin,44
buggy_23.sol,tx.origin,45
buggy_23.sol,tx.origin,46
buggy_23.sol,tx.origin,47
buggy_23.sol,tx.origin,48
buggy_23.sol,tx.origin,49
buggy_23.sol,tx.origin,50
buggy_22.sol,tx.origin,46
buggy_22.sol,tx.origin,47
buggy_22.sol,tx.origin,48
buggy_22.sol,tx.origin,49
buggy_22.sol,tx.origin,50
buggy_22.sol,tx.origin,56
buggy_22.sol,tx.origin,57
buggy_22.sol,tx.origin,58
buggy_49.sol,tx.origin,1
buggy_49.sol,tx.origin,2
buggy_49.sol,tx.origin,3
buggy_49.sol,tx.origin,4
buggy_49.sol,tx.origin,5
buggy_48.sol,tx.origin,42
buggy_48.sol,tx.origin,42
buggy_48.sol,tx.origin,42
buggy_48.sol,tx.origin,42
buggy_48.sol,tx.origin,42
buggy_43.sol,tx.origin,15
buggy_42.sol,tx.origin,4
buggy_42.sol,tx.origin,25
buggy_34.sol,tx.origin,42
buggy_34.sol,tx.origin,42
buggy_39.sol,tx.origin,78
buggy_39.sol,tx.origin,96
