Bug_Type,Contract,Line,Description
Re-entrancy,buggy_43.sol,387,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,261,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,133,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,10,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,399,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,147,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,411,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,27,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,160,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,41,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,427,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,174,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,304,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,50,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,58,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,186,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,314,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,329,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,75,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,463,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,343,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,89,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,481,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,358,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,231,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,104,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,494,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,118,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_43.sol,510,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,259,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,134,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,8,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,397,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,16,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,147,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,282,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,158,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,417,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,36,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,435,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,308,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,182,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,63,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,451,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,76,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,334,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,465,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,212,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,86,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,350,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,479,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,95,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,359,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,103,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,235,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,493,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,369,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,114,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,123,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_5.sol,380,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,288,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,260,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,71,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,168,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,40,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,237,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,60,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,13,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,82,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,147,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,51,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,213,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,118,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,22,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,92,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,190,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_13.sol,31,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,65,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,36,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,229,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,134,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,168,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,201,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,108,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,78,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,143,Ground truth vulnerability missed by LLM
