Bug_Type,Contract,Line,Description
Re-entrancy,buggy_45.sol,70,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_45.sol,14,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_45.sol,49,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_45.sol,21,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_45.sol,28,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,32,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,36,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,166,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,40,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,202,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,11,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,28,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,14,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,17,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,146,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,20,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,24,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,154,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,124,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_32.sol,190,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_46.sol,33,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_46.sol,37,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_46.sol,42,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_46.sol,14,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_46.sol,51,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_46.sol,58,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_42.sol,34,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_42.sol,13,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_42.sol,21,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_31.sol,16,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_31.sol,12,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_31.sol,20,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_31.sol,6,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_2.sol,14,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_2.sol,51,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_2.sol,31,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_50.sol,36,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_50.sol,6,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_50.sol,16,LLM detected vulnerability not in ground truth
Re-entrancy,buggy_50.sol,26,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_43.sol,44,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_43.sol,14,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,37,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,44,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,16,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,52,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,21,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,27,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_13.sol,31,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,32,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,16,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,18,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,20,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,22,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,24,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,26,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,28,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_28.sol,30,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_47.sol,35,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_47.sol,41,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_47.sol,19,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_47.sol,25,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_47.sol,29,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,14,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,17,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,21,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,23,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,24,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,27,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,29,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,30,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,33,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,35,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,36,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,39,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,41,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,42,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,45,LLM detected vulnerability not in ground truth
Timestamp-Dependency,buggy_38.sol,47,LLM detected vulnerability not in ground truth
