Bug_Type,Contract,LLM_Line,Ground_Truth_Line,Line_Difference
Re-entrancy,buggy_45.sol,35,33,2
Re-entrancy,buggy_45.sol,42,44,-2
Re-entrancy,buggy_45.sol,56,55,1
Re-entrancy,buggy_45.sol,63,65,-2
Re-entrancy,buggy_32.sol,226,226,0
Re-entrancy,buggy_32.sol,178,179,-1
Re-entrancy,buggy_32.sol,214,212,2
Re-entrancy,buggy_46.sol,20,21,-1
Re-entrancy,buggy_39.sol,9,8,1
Re-entrancy,buggy_42.sol,38,40,-2
Re-entrancy,buggy_42.sol,25,27,-2
Re-entrancy,buggy_2.sol,37,36,1
Re-entrancy,buggy_2.sol,45,45,0
Re-entrancy,buggy_2.sol,23,25,-2
Re-entrancy,buggy_50.sol,11,10,1
Re-entrancy,buggy_50.sol,21,20,1
Re-entrancy,buggy_50.sol,31,30,1
Timestamp-Dependency,buggy_43.sol,32,32,0
Timestamp-Dependency,buggy_43.sol,38,37,1
Timestamp-Dependency,buggy_43.sol,20,18,2
Timestamp-Dependency,buggy_43.sol,26,27,-1
Timestamp-Dependency,buggy_13.sol,41,42,-1
Timestamp-Dependency,buggy_13.sol,11,13,-2
Timestamp-Dependency,buggy_13.sol,46,48,-2
Timestamp-Dependency,buggy_13.sol,17,19,-2
Timestamp-Dependency,buggy_13.sol,26,24,2
Timestamp-Dependency,buggy_13.sol,28,30,-2
Timestamp-Dependency,buggy_3.sol,38,40,-2
Timestamp-Dependency,buggy_3.sol,45,46,-1
Timestamp-Dependency,buggy_3.sol,52,53,-1
Timestamp-Dependency,buggy_3.sol,24,25,-1
Timestamp-Dependency,buggy_3.sol,59,58,1
Timestamp-Dependency,buggy_3.sol,31,30,1
Timestamp-Dependency,buggy_47.sol,32,30,2
Timestamp-Dependency,buggy_47.sol,38,40,-2
Timestamp-Dependency,buggy_47.sol,12,13,-1
Timestamp-Dependency,buggy_47.sol,15,17,-2
Timestamp-Dependency,buggy_47.sol,22,23,-1
Timestamp-Dependency,buggy_38.sol,53,54,-1
Timestamp-Dependency,buggy_38.sol,59,58,1
Timestamp-Dependency,buggy_45.sol,15,15,0
