contract,bug_type,llm_response,success
buggy_17.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_16.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_5.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_4.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_29.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_28.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_23.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_22.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_49.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_48.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_43.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_42.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_34.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_35.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_39.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_38.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_44.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_45.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_33.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_32.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_10.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_11.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_2.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_3.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_8.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_9.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_24.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_25.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_40.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_41.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_37.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_36.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_20.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_21.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_14.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_15.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_6.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_7.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_50.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_19.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_18.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_27.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_26.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_13.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_12.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_1.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_47.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_46.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_30.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_31.sol,Re-entrancy,"Error: '\n    ""findings""'",false
buggy_17.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_16.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_5.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_4.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_29.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_28.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_23.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_22.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_49.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_48.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_43.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_42.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_34.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_35.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_39.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_38.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_44.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_45.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_33.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_32.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_10.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_11.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_2.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_3.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
