bug_id,contract,line,bug_type,approach
1,buggy_1.sol,22,Re-entrancy,code snippet injection
2,buggy_1.sol,36,Re-entrancy,code snippet injection
3,buggy_1.sol,51,Re-entrancy,code snippet injection
4,buggy_1.sol,65,Re-entrancy,code snippet injection
5,buggy_1.sol,78,Re-entrancy,code snippet injection
6,buggy_1.sol,86,Re-entrancy,code snippet injection
7,buggy_1.sol,94,Re-entrancy,code snippet injection
8,buggy_1.sol,108,Re-entrancy,code snippet injection
9,buggy_1.sol,119,Re-entrancy,code snippet injection
10,buggy_1.sol,134,Re-entrancy,code snippet injection
11,buggy_1.sol,143,Re-entrancy,code snippet injection
12,buggy_1.sol,151,Re-entrancy,code snippet injection
13,buggy_1.sol,168,Re-entrancy,code snippet injection
14,buggy_1.sol,184,Re-entrancy,code snippet injection
15,buggy_1.sol,201,Re-entrancy,code snippet injection
16,buggy_1.sol,213,Re-entrancy,code snippet injection
17,buggy_1.sol,229,Re-entrancy,code snippet injection
18,buggy_1.sol,243,Re-entrancy,code snippet injection
19,buggy_10.sol,37,Re-entrancy,code snippet injection
20,buggy_10.sol,29,Re-entrancy,code snippet injection
21,buggy_10.sol,100,Re-entrancy,code snippet injection
22,buggy_10.sol,86,Re-entrancy,code snippet injection
23,buggy_10.sol,71,Re-entrancy,code snippet injection
24,buggy_10.sol,55,Re-entrancy,code snippet injection
25,buggy_10.sol,17,Re-entrancy,code snippet injection
26,buggy_10.sol,8,Re-entrancy,code snippet injection
27,buggy_11.sol,141,Re-entrancy,code snippet injection
28,buggy_11.sol,96,Re-entrancy,code snippet injection
29,buggy_11.sol,87,Re-entrancy,code snippet injection
30,buggy_11.sol,428,Re-entrancy,code snippet injection
31,buggy_11.sol,410,Re-entrancy,code snippet injection
32,buggy_11.sol,394,Re-entrancy,code snippet injection
33,buggy_11.sol,376,Re-entrancy,code snippet injection
34,buggy_11.sol,359,Re-entrancy,code snippet injection
35,buggy_11.sol,335,Re-entrancy,code snippet injection
36,buggy_11.sol,312,Re-entrancy,code snippet injection
37,buggy_11.sol,291,Re-entrancy,code snippet injection
38,buggy_11.sol,275,Re-entrancy,code snippet injection
39,buggy_11.sol,259,Re-entrancy,code snippet injection
40,buggy_11.sol,185,Re-entrancy,code snippet injection
41,buggy_11.sol,172,Re-entrancy,code snippet injection
42,buggy_11.sol,155,Re-entrancy,code snippet injection
43,buggy_11.sol,109,Re-entrancy,code snippet injection
44,buggy_11.sol,76,Re-entrancy,code snippet injection
45,buggy_11.sol,66,Re-entrancy,code snippet injection
46,buggy_11.sol,57,Re-entrancy,code snippet injection
47,buggy_11.sol,47,Re-entrancy,code snippet injection
48,buggy_11.sol,38,Re-entrancy,code snippet injection
49,buggy_11.sol,29,Re-entrancy,code snippet injection
50,buggy_11.sol,236,Re-entrancy,code snippet injection
51,buggy_11.sol,224,Re-entrancy,code snippet injection
52,buggy_11.sol,215,Re-entrancy,code snippet injection
53,buggy_11.sol,206,Re-entrancy,code snippet injection
54,buggy_11.sol,199,Re-entrancy,code snippet injection
55,buggy_11.sol,131,Re-entrancy,code snippet injection
56,buggy_11.sol,121,Re-entrancy,code snippet injection
57,buggy_12.sol,98,Re-entrancy,code snippet injection
58,buggy_12.sol,108,Re-entrancy,code snippet injection
59,buggy_12.sol,117,Re-entrancy,code snippet injection
60,buggy_12.sol,124,Re-entrancy,code snippet injection
61,buggy_12.sol,133,Re-entrancy,code snippet injection
62,buggy_12.sol,142,Re-entrancy,code snippet injection
63,buggy_12.sol,150,Re-entrancy,code snippet injection
64,buggy_12.sol,159,Re-entrancy,code snippet injection
65,buggy_12.sol,172,Re-entrancy,code snippet injection
66,buggy_12.sol,184,Re-entrancy,code snippet injection
